Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
David Bowie,Space Oddity - 2015 Remaster,73,0.31,0.403,,-13.664,1,0.0326,0.0726,9.27E-05,0.139,0.466,134.48,318027,4,10
Crimson Sun,Essence of Creation,34,0.511,0.955,1,-5.059,1,0.129,0.0004,8.70E-06,0.263,0.291,151.937,220413,4,8
P!nk,Raise Your Glass,78,0.7,0.709,7,-5.006,1,0.0839,0.0048,,0.0289,0.625,122.019,202960,4,-1
Shawn Mendes,Wonder,80,0.333,0.637,1,-4.904,0,0.0581,0.131,1.80E-05,0.149,0.132,139.898,172693,4,-1
Backstreet Boys,Helpless When She Smiles - Radio Version,48,0.393,0.849,11,-4.114,1,0.0459,0.00421,,0.162,0.222,74.028,4.093116667,4,-1
Paul McCartney,Pretty Boys (feat. Khruangbin),56,0.696,0.979,11,-5.338,0,0.0445,0.00244,0.768,0.116,0.962,101.021,348859,4,-1
The Flaming Lips,She Don't Use Jelly,60,0.33,0.556,7,-11.494,1,0.0796,0.207,4.39E-05,0.315,0.506,173.828,222279,4,-1
The Vanities,Wasted All My Days,23,0.43,0.942,10,-3.008,1,0.0913,0.000166,1.91E-05,0.103,0.557,91.483,140400,4,-1
pizzagirl,car freshener aftershave,36,0.603,0.724,7,-6.843,1,0.0265,0.00135,1.02E-05,0.184,0.387,129.984,243868,4,9
Dudu Tassa,◊ë◊õ◊ô◊†◊ï ◊ò◊¢◊ô◊†◊ï,20,0.403,0.742,7,-7.38,0,0.0604,0.218,0.00904,0.0606,0.617,167.898,239987,4,-1
Jane's Addiction,Been Caught Stealing,57,0.639,0.929,,-4.762,1,0.212,0.00326,0.0501,0.242,0.688,103.758,214707,4,10
The M√∂nic,Just Mad,29,0.324,0.798,2,-8.417,1,0.031,0.0518,5.82E-06,0.256,0.534,168.132,172217,4,-1
The Shins,Phantom Limb,57,0.515,0.848,9,-4.835,1,0.0375,0.000486,,0.0946,0.475,119.84,287567,4,6
Nyck Caution,Bad Day (feat. Denzel Curry),49,0.749,0.783,1,-3.965,1,0.3,0.142,,0.237,0.73,140.012,154947,4,-1
Foo Fighters,Shame Shame,62,0.652,0.864,7,-4.108,1,0.0325,0.00138,0.0433,0.0371,0.38,122.026,257427,4,10
FEVER 333,BITE BACK,50,0.545,0.998,8,-3.645,1,0.234,0.0192,,0.877,0.142,129.992,190657,4,8
Tora Tora,Blue Tommorrow,20,0.626,0.609,4,-12.226,0,0.0371,0.00803,1.92E-05,0.108,0.346,123.681,260120,4,-1
Fenix TX,Phoebe Cates,36,0.234,0.978,7,-3.724,1,0.269,7.80E-05,3.06E-06,0.361,0.305,190.446,220267,4,9
For Tracy Hyde,Just Like Fireflies,30,0.342,0.875,2,-3.623,1,0.0789,0.000112,0.555,0.103,0.46,149.139,160262,4,6
"StarBoi3, Doja Cat",Dick (feat. Doja Cat),84,0.647,0.608,9,-6.831,1,0.42,0.13,,0.0584,0.474,125.994,2.920633333,4,-1
Backstreet Boys,You Can Let Go,31,0.521,0.72,11,-3.418,1,0.0301,0.0617,,0.154,0.454,73.002,3.548883333,4,-1
KennyHoopla,how will i rest in peace if i'm buried by a highway?//,63,0.479,0.844,1,-4.338,0,0.0819,0.0134,3.91E-06,0.195,0.49,159.852,218533,4,9
Oxbow,Untitled,12,0.408,0.56,9,-6.451,0,0.164,0.173,2.13E-05,0.129,0.394,131.507,370133,3,10
Mito,Replace,28,0.661,0.437,,-9.972,1,0.041,0.331,0.4,0.134,0.346,84.006,139500,4,-1
Arlo Parks,Caroline,60,0.596,0.576,10,-7.955,1,0.0388,0.376,0.0904,0.107,0.485,160.176,216933,4,-1
Dead Quiet,Of Sound and Fury,24,0.262,0.925,,-7.136,1,0.0721,0.00305,0.0151,0.075,0.374,84.963,365684,4,8
Santana,"Evil Ways - Live at The Woodstock Music & Art Fair, August 16, 1969",32,0.587,0.672,7,-11.698,1,0.0445,0.0226,0.0935,0.503,0.913,127.48,240640,4,-1
Lata Mangeshkar,Panchhi Banoon Udti Phiroon,11,0.359,0.61,2,-8.359,1,0.0692,0.799,2.15E-05,0.491,0.91,171.854,4.551783333,3,3
Nirvana,Smells Like Teen Spirit,82,0.502,0.912,1,-4.556,1,0.0564,2.55E-05,0.000173,0.106,0.72,116.761,301920,4,10
Death Valley Girls,Street Justice,25,0.324,0.948,9,-4.609,1,0.0522,8.85E-06,0.561,0.165,0.342,90.542,160587,4,10
Foghat,Slow Ride,67,0.493,0.586,2,-13.916,1,0.046,0.0202,0.00106,0.102,0.656,113.618,232533,4,10
Magnus Karlsson‚Äôs Free Fall,Temples And Towers,28,0.273,0.955,7,-5.624,0,0.105,2.33E-05,0.000818,0.334,0.198,199.948,337147,4,-1
Rick Estrin & The Nightcats,Callin' All Fools,13,0.692,0.623,,-8.13,0,0.0361,0.15,4.27E-06,0.316,0.601,114.627,313680,4,2
Céline Dion,I'm Alive - Live,32,0.608,0.773,8,-7.074,1,0.0792,0.126,,0.99,0.435,101.99,4.281116667,4,-1
Taylor Swift,The Man,77,0.777,0.658,,-5.191,1,0.054,0.0767,,0.0901,0.633,110.048,190360,4,-1
Moshe Peretz,◊ê◊©,34,0.567,0.911,3,-4.913,0,0.038,0.0972,,0.0914,0.903,160.037,238333,4,-1
"Invent, Animate",Cloud Cascade,41,0.486,0.961,5,-4.234,0,0.0831,0.00022,0.0035,0.0904,0.219,116.024,249078,4,8
Sl√∏tface,Tap the pack,23,0.401,0.822,9,-7.091,1,0.122,0.000147,0.0011,0.0713,0.674,174.966,146520,4,-1
Eliad,◊ê◊†◊ô ◊¢◊£,21,0.698,0.39,7,-7.253,0,0.03,0.0278,,0.156,0.663,146.019,208015,4,-1
Adrenaline Mob,Crystal Clear,36,0.509,0.935,7,-4.159,0,0.0434,0.0317,,0.101,0.627,171.967,303453,4,8
Tim Atlas,Compromised,47,0.957,0.425,11,-8.002,0,0.0538,0.164,0.00665,0.0656,0.961,108.971,226235,4,-1
"Luther ""Snake Boy"" Johnson",They call me the snake,30,0.6,0.319,4,-12.587,1,0.143,0.739,0.102,0.289,0.41,137.954,337600,3,2
Trick or Treat,Hungarian Hangover,33,0.489,0.93,5,-4.834,1,0.11,0.00178,,0.338,0.401,95.083,232067,4,8
Bad Waitress,That Sedative,35,0.175,0.857,9,-4.325,0,0.0416,5.50E-06,0.839,0.353,0.43,170.136,141404,4,-1
Imagine Dragons,Next To Me,70,0.301,0.672,2,-4.497,1,0.0623,0.28,3.10E-05,0.0609,0.384,169.497,230289,3,-1
Bully,Where to Start,44,0.341,0.875,9,-4.581,1,0.0406,2.32E-05,0.126,0.135,0.477,78.948,180601,4,6
The Doors,Roadhouse Blues,71,0.623,0.633,9,-8.212,1,0.0304,0.336,4.60E-05,0.147,0.895,121.119,243827,4,10
Beach Bunny,Blame Game,56,0.364,0.719,7,-5.567,1,0.0439,0.0551,3.15E-06,0.0824,0.352,97.5,214924,4,-1
Ron Gallo,"Young Lady, You're Scaring Me",59,0.371,0.921,9,-5.533,1,0.0784,0.0113,2.70E-05,0.43,0.508,109.675,220538,4,10
Light The Torch,Wilting in the Light,53,0.393,0.874,7,-5.566,1,0.0582,3.11E-05,0.0265,0.12,0.378,155.013,228738,4,8
Korn,Rotting In Vain,49,0.498,0.946,2,-4.793,1,0.0602,0.000121,2.56E-05,0.359,0.31,106.275,213000,4,8
Suicidal Tendencies,You Can't Bring Me Down,55,0.281,0.958,4,-10.798,0,0.375,0.00195,4.69E-05,0.0915,0.0381,136.851,348093,4,8
Sirenia,Voyage Voyage,48,0.527,0.941,1,-5.224,1,0.0513,0.00102,0.0166,0.205,0.62,125.994,258564,4,8
The Police,Roxanne - Remastered 2003,4,0.615,0.752,,-8.91,1,0.391,0.0397,1.37E-06,0.0479,0.66,133.977,191507,4,-1
U2,With Or Without You - Remastered,79,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,295516,4,10
Public Enemy,Rebel Without A Pause,50,0.755,0.692,7,-13.906,1,0.346,0.0127,,0.69,0.651,99.771,302800,4,5
