Popularity,danceability,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,key_sin,key_cos
73.0,0.31,-13.664,1,0.0326,0.0726,9.269570362051421e-05,0.1301506844650451,0.466,134.48,318027.0,4,10,,
34.0,0.511,-5.059,1,0.129,0.0004,8.6999621552195e-06,0.23348984336835407,0.291,151.937,220413.0,4,8,0.49999999999999994,0.8660254037844387
36.0,0.603,-6.843,1,0.0265,0.00135,1.0199947980353735e-05,0.16889853646181394,0.387,129.984,243868.0,4,9,-0.5000000000000001,-0.8660254037844386
57.0,0.639,-4.762,1,0.212,0.00326,0.048885397729810626,0.21672298351128702,0.688,103.758,214707.0,4,10,,
57.0,0.515,-4.835,1,0.0375,0.000486,0.16344613607000308,0.09038899972768073,0.475,119.84,287567.0,4,6,-1.0,-1.8369701987210297e-16
62.0,0.652,-4.108,1,0.0325,0.00138,0.04238876649178662,0.036428356613551496,0.38,122.026,257427.0,4,10,-0.5000000000000001,-0.8660254037844386
50.0,0.545,-3.645,1,0.234,0.0192,0.16344613607000308,0.6296747576043717,0.142,129.992,190657.0,4,8,-0.8660254037844385,-0.5000000000000004
36.0,0.234,-3.724,1,0.269,7.8e-05,3.0599953182095505e-06,0.30821972366932904,0.305,190.446,220267.0,4,9,-0.5000000000000001,-0.8660254037844386
30.0,0.342,-3.623,1,0.0789,0.000112,0.4414755456311975,0.09803374027136541,0.46,149.139,160262.0,4,6,0.8660254037844386,0.5000000000000001
63.0,0.479,-4.338,0,0.0819,0.0134,3.909992355969925e-06,0.178146185383474,0.49,159.852,218533.0,4,9,0.49999999999999994,0.8660254037844387
12.0,0.408,-6.451,0,0.164,0.173,2.129977315822115e-05,0.12133228516752496,0.394,131.507,370133.0,3,10,-1.0,-1.8369701987210297e-16
24.0,0.262,-7.136,1,0.0721,0.00305,0.014987129808248345,0.07232066157962612,0.374,84.963,365684.0,4,8,,
11.0,0.359,-8.359,1,0.0692,0.799,2.149976887831274e-05,0.3994470357826014,0.91,171.854,273106.99998,3,3,0.8660254037844386,0.5000000000000001
82.0,0.502,-4.556,1,0.0564,2.55e-05,0.00017298503722568178,0.10074990310014306,0.72,116.761,301920.0,4,10,0.49999999999999994,0.8660254037844387
25.0,0.324,-4.609,1,0.0522,8.85e-06,0.44532664153329504,0.1527210870176639,0.342,90.542,160587.0,4,10,-1.0,-1.8369701987210297e-16
67.0,0.493,-13.916,1,0.046,0.0202,0.0010594385966899815,0.09712671073072274,0.656,113.618,232533.0,4,10,0.8660254037844386,0.5000000000000001
13.0,0.692,-8.13,0,0.0361,0.15,4.269990883575951e-06,0.2745968329031254,0.601,114.627,313680.0,4,2,,
41.0,0.486,-4.234,0,0.0831,0.00022,0.0034938892542557796,0.0865446014001858,0.219,116.024,249078.0,4,8,0.49999999999999994,-0.8660254037844387
36.0,0.509,-4.159,0,0.0434,0.0317,0.16344613607000308,0.09621885774054292,0.627,171.967,303453.0,4,8,-0.5000000000000001,-0.8660254037844386
30.0,0.6,-12.587,1,0.143,0.739,0.09712671073072274,0.25386672395705034,0.41,137.954,337600.0,3,2,0.8660254037844387,-0.4999999999999998
33.0,0.489,-4.834,1,0.11,0.00178,0.16344613607000308,0.2911759617060367,0.401,95.083,232067.0,4,8,0.49999999999999994,-0.8660254037844387
