danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
0.854,1.0,-4.964,1,0.0485,0.0171,0.16344613607000308,0.08148781684626795,0.899,134.071,234596.0,4,5
0.382,3.0,-7.23,1,0.0406,0.0011,0.0040019813792979446,0.09621885774054292,0.569,116.454,251733.0,4,10
0.434,6.0,-8.334,1,0.0525,0.486,0.00019598079450947644,0.3321773123383322,0.787,147.681,109667.0,4,6
0.853,10.0,-6.528,0,0.0555,0.0212,0.16344613607000308,0.11511280710050457,0.569,107.033,173968.0,4,5
0.167,2.0,-4.279,1,0.216,0.000169,0.015971769509698662,0.15871169115482087,0.0918,199.06,229960.0,4,10
0.235,6.0,0.878,1,0.107,0.00353,0.006021832318494234,0.15871169115482087,0.241,152.952,208133.0,4,6
0.674,5.0,-9.647,0,0.104,0.404,1.339999102200802e-06,0.09358141362153051,0.677,143.292,329387.0,4,2
0.657,5.0,-9.915,1,0.025,0.175,5.649984038810121e-06,0.1239859797809912,0.347,96.03,186346.99998000002,4,4
0.431,10.0,-5.403,1,0.0527,2.21e-05,0.0012991557316200499,0.16466662155523387,0.318,120.857,237867.0,4,8
0.716,1.0,-4.348,0,0.0333,0.0614,0.16344613607000308,0.22554067591393126,0.833,128.043,164093.0,4,9
0.491,7.0,-8.588,0,0.0331,0.957,0.0022973590486834897,0.23348984336835407,0.843,95.558,259827.0,4,3
0.387,9.0,-5.192,0,0.0674,0.00487,0.16344613607000308,0.17142911562753096,0.417,146.478,222947.0,4,10
0.585,1.0,-7.622,0,0.0463,0.435,0.16344613607000308,0.11867152971749864,0.322,143.876,206875.0,4,9
0.462,11.0,-12.069,0,0.0331,0.949,0.6570017339235921,0.1231021971339834,0.174,122.939,266415.0,3,7
0.653,2.0,-10.164,1,0.0497,0.406,0.020684591192832683,0.09621885774054292,0.822,98.883,153693.0,4,10
0.431,2.0,-6.522,1,0.0431,0.564,0.1889660995126232,0.22633844221072896,0.794,67.601,146800.0,4,2
0.713,5.0,-3.609,0,0.0372,0.11,5.879982712867765e-06,0.2859305394129746,0.88,108.034,179320.0,4,9
0.564,1.0,-4.73,0,0.0473,0.00233,0.007769737264360664,0.06485097231961633,0.401,105.01,154293.0,4,10
0.57,9.0,-5.935,0,0.0236,0.502,2.349997238754326e-06,0.12575120530556036,0.19,93.088,217529.0,4,9
0.852,1.0,-5.803,1,0.0579,0.0219,0.16344613607000308,0.289680075114454,0.394,92.506,157693.0,4,5
0.347,6.0,-8.071,1,0.0414,0.0181,0.4922542381805553,0.09303486596718936,0.395,171.991,283013.0,4,6
0.796,7.0,-9.83,1,0.292,0.16,2.8899582403045684e-05,0.11154137473290741,0.371,158.105,137872.0,4,1
0.805,7.0,-9.452,1,0.112,0.0602,1.7899983979519117e-06,0.10705907229340779,0.775,160.018,138000.0,4,5
0.472,9.0,-6.128,1,0.0774,9.43e-06,0.015381102038302324,0.3104215594212703,0.75,98.784,309867.0,4,10
0.556,8.0,-12.161,1,0.0316,0.494,0.16344613607000308,0.11243542932978817,0.184,138.091,145217.0,4,9
0.548,10.0,-8.44,1,0.107,0.542,9.589540188897021e-05,0.3038014543316642,0.618,119.675,240937.99998000002,3,0
0.867,11.0,-13.222,0,0.0875,0.00456,0.0003389425524827722,0.08286947782229463,0.866,133.148,257360.0,4,9
0.341,5.0,-10.144,1,0.037,0.226,0.09984533496971613,0.4173936789734382,0.203,144.109,204280.0,4,1
0.733,7.0,-6.514,1,0.0371,0.379,2.5799966718057246e-06,0.38594244161930047,0.915,120.814,197160.0,4,8
0.696,6.0,-5.996,1,0.0877,0.00103,3.209948480602512e-05,0.10795714150509228,0.397,121.032,180822.0,4,6
0.517,10.0,-4.054,1,0.0521,0.00581,0.16344613607000308,0.19392069263730652,0.429,95.906,188779.0,4,9
0.437,5.0,-4.287,0,0.092,0.000234,0.16344613607000308,0.0839734337761786,0.517,170.023,180293.0,4,6
0.384,1.0,-3.647,0,0.141,0.000153,0.00024696950052214395,0.20375683751401966,0.155,194.842,247370.0,4,8
0.858,-1.0,-7.332,1,0.148,0.0443,0.00735290104518289,0.1798184265758361,0.351,170.875,193962.0,4,5
0.297,-1.0,-20.316,1,0.0384,0.844,0.6178846960593984,0.11867152971749864,0.296,80.672,210226.99998,4,7
0.516,2.0,-3.994,1,0.0644,0.0279,0.054866901440840096,0.1397619423751587,0.957,170.087,130329.0,4,1
0.32,-1.0,-15.17,1,0.0422,0.941,0.6575200029167941,0.1527210870176639,0.431,81.09,169057.99998,4,7
0.661,4.0,-9.283,1,0.0412,0.713,0.16344613607000308,0.10885440491208209,0.337,127.873,216695.0,4,9
0.569,7.0,-12.826,1,0.0418,0.365,0.6184236343640088,0.05458287777029171,0.758,105.156,338292.0,4,2
0.357,1.0,-6.489,0,0.124,1.6e-05,0.6376344706296866,0.09984533496971613,0.28,159.81,233929.0,4,8
0.615,7.0,-6.873,1,0.029,0.000372,0.02019470728551928,0.1239859797809912,0.792,109.95,185093.0,4,10
0.479,-1.0,-6.497,1,0.0316,0.857,0.16344613607000308,0.13190507087993858,0.236,107.915,174242.0,4,9
0.633,4.0,-5.053,1,0.0461,0.0401,0.5265021031509982,0.11064652008706366,0.243,127.397,354360.0,4,10
0.618,11.0,-7.495,1,0.0762,0.407,0.16344613607000308,0.4054651081081644,0.651,155.014,209307.0,4,6
0.881,7.0,-9.357,1,0.0407,0.0532,0.00014898890060252646,0.048504409059614985,0.852,102.814,320413.0,4,6
0.624,9.0,-9.103,0,0.0344,0.0286,0.005146732819529831,0.08305355513528564,0.33,120.049,285933.0,4,10
0.607,2.0,-7.406,1,0.0703,0.446,0.16344613607000308,0.1595645696713384,0.473,135.606,205040.0,4,9
0.799,-1.0,-8.208,1,0.0395,0.0595,0.16344613607000308,0.03324133377980188,0.831,116.083,333520.0,4,10
0.494,2.0,-19.203,1,0.044,0.984,0.6554453133759338,0.10436001532424277,0.15,78.227,180895.00002,4,7
0.52,9.0,-7.546,1,0.0434,0.000517,0.0016985566355814771,0.07640533120240538,0.449,88.967,180968.0,4,10
0.595,11.0,-4.245,0,0.0423,0.141,0.16344613607000308,0.15871169115482087,0.515,80.953,163733.0,4,9
0.523,5.0,-9.928,1,0.0311,0.465,0.002676415203408205,0.31115442863692305,0.49,171.246,203107.00002,4,0
0.566,-1.0,-10.359,1,0.123,0.00488,0.29713723122253605,0.5469646703818639,0.324,117.813,403027.0,4,10
0.612,8.0,-9.175,1,0.044,0.00253,0.0015288307424907214,0.14669437915080352,0.687,136.212,196467.0,4,1
0.63,1.0,-8.9,1,0.0351,0.337,0.16344613607000308,0.15357908792830066,0.177,143.078,202193.0,4,5
0.521,9.0,-11.492,0,0.0357,0.563,0.0004349054149286766,0.32642190076771155,0.326,95.19,180533.0,4,9
0.501,2.0,-13.893,1,0.0299,0.608,0.6339278208999741,0.13714983814723364,0.281,102.404,352267.0,4,10
0.185,9.0,-10.522,1,0.0576,0.000632,0.5916680116100915,0.10616019582839065,0.0789,84.031,207465.0,3,6
0.532,4.0,-6.577,0,0.0318,0.0208,0.00015398814321728073,0.26466929814270806,0.648,140.036,288071.0,4,2
0.415,-1.0,-4.874,1,0.0889,0.0049,0.16344613607000308,0.13453089295760615,0.439,134.392,225627.0,4,1
0.425,4.0,-9.343,0,0.0273,0.0792,0.004888034072775961,0.10705907229340779,0.135,155.761,323931.0,4,10
0.373,1.0,-9.566,0,0.0562,0.668,3.679932289661155e-05,0.30821972366932904,0.75,89.1,214732.99998,4,3
0.39,6.0,-3.961,1,0.0372,0.0904,0.16344613607000308,0.10795714150509228,0.271,120.755,213677.0,4,10
0.439,2.0,-9.424,1,0.0314,0.00407,0.0011393506934261448,0.2592825979300829,0.789,84.846,212067.0,4,6
0.827,2.0,-4.775,1,0.302,0.0219,2.9099576603213876e-05,0.11955923505763925,0.694,87.257,290440.0,4,5
0.709,2.0,-7.573,1,0.0281,0.0355,0.026447170014848295,0.03816246109434892,0.7,129.987,194567.0,4,1
0.583,-1.0,-15.786,1,0.148,0.676,2.839959672763527e-05,0.11064652008706366,0.533,156.009,371496.0,3,2
0.704,6.0,-9.331,1,0.418,0.287,0.16344613607000308,0.1301506844650451,0.712,142.815,176667.0,4,5
0.247,2.0,-3.057,1,0.097,2.01e-05,0.26926348692776286,0.11511280710050457,0.333,134.445,237493.0,4,10
0.801,-1.0,-6.406,1,0.0565,0.169,3.749929689257763e-05,0.08846864798760816,0.769,77.012,218360.0,4,2
0.539,4.0,-8.522,1,0.0278,0.0987,0.0009225742974288438,0.2468600779315258,0.353,102.03,191890.0,4,10
0.907,11.0,-6.268,0,0.135,0.246,0.16344613607000308,0.07770150766385205,0.961,101.007,298307.0,4,5
0.667,8.0,-5.669,1,0.082,0.022,0.16344613607000308,0.08691137198929641,0.152,158.058,151891.0,4,10
0.436,10.0,-7.981,1,0.0398,0.0035,0.6790482561804436,0.09984533496971613,0.588,110.002,307545.0,4,6
0.366,4.0,-4.914,1,0.034,0.00261,0.16344613607000308,0.05770271012828925,0.362,148.34,284000.0,3,10
0.777,-1.0,-4.717,1,0.0919,0.0295,0.16344613607000308,0.17563256864315802,0.673,129.945,284839.99998,4,9
